CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;
09771X0007/P3S;40088;DAX;40;AEAG;3,83;30;40088_FRFG082_FRFG028;371497,6787;6297095,062;;FG028;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09771X0191/F6S;40088;DAX;40;AEAG;3,83;16;40088_FRFG082_FRFG028;371465,5979;6297241,057;;FG028;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09771X0030/F2S;40088;DAX;40;AEAG;3,73;336.8;40088_FRFG082_FRFG028;371828,4965;6297658,405;;FG028;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;;;;;;;
09771X0091/F3S;40088;DAX;40;AEAG;4,14;380;40088_FRFG083_FRFG028;373143,1977;6298915,757;;FG028;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
09771X0160/F5S;40088;DAX;40;AEAG;3,76;351.37;40088_FRFG083_FRFG028;375154,8386;6300125,081;FG083;FG028;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;oui;oui;oui;oui;oui;oui;
09774X0026/F1;40090;DONZACQ;40;AEAG;37;21.4;40090_FRFG082_FRFG044;395054,8054;6292846,55;FG082;FG044;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;oui;oui;oui;oui;oui;oui;oui;
08985X0030/F;40094;ESCOURCE;40;AEAG;68;151;40094_FRFG105_FRFG045;378916,3762;6350251,55;FG084;FG045;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09784X0029/CHICOY;40097;EUGENIE-LES-BAINS;40;AEAG;86;83.5;40097_FRFG082_FRFG044;426687,6586;6295079,054;FG082;FG044;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;oui;
09782X0013/F4;40098;EYRES-MONCUBE;40;AEAG;49;105;40098_FRFG091_FRFG044;412162,7168;6296461,217;FG091;FG044;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;oui;oui;oui;oui;oui;oui;oui;
09783X0019/F;40099;FARGUES;40;AEAG;64;106;40099_FRFG091_FRFG081;420826,2347;6297036,194;;FG081;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;
