"ID","Autre_quantite-totale-2015","N minéral_quantite-totale-2015","N Organique_quantite-totale-2015","Toxique_quantite-totale-2015","Autre_quantite-totale-2016","N minéral_quantite-totale-2016","N Organique_quantite-totale-2016","Toxique_quantite-totale-2016","Autre_quantite-totale-2017","N minéral_quantite-totale-2017","N Organique_quantite-totale-2017","Toxique_quantite-totale-2017","Autre_quantite-totale-2018","N minéral_quantite-totale-2018","N Organique_quantite-totale-2018","Toxique_quantite-totale-2018"
"56620",556.821462,31.186013,1934.848805,641.192871,365.933943,37.168188,2212.867157,770.479704,477.521067,32.0555,1795.014508,494.499446,560.118008,0.14,2072.810396,573.855
"56630",348.524369,0.68,2289.645272,942.976708,1312.785082,0.54,2979.878036,1225.41375,185.472236,NA,2158.379302,785.103,461.468527,0.2,2823.429894,819.5277
"56640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56650",153.799538,NA,1428.65932,443.85565,203.053103,NA,1613.713984,644.8866,304.377651,0.096,1687.131426,620.06545,386.492505,NA,2057.316902,454.8615
"56660",377.919552,27.1,1968.975458,821.166555,476.564442,68.3375,1446.533987,764.890812,457.679422,65.636,1916.221989,496.311553,678.321016,46.935,1860.410234,573.32495
"56670",100.7295,3,610.157018,235.2265,124.49585,NA,407.73715,328.6525,112.08825,NA,459.1932,194.391,836.006753,3,472.27821,141.8333
"56680",156.399714,NA,815.613122,512.25,143.7172,4,738.55045,516.2313,138.513,6,932.7561,471.3977,1006.833922,4,836.86411,442.5842
"56690",98.982157,14.98,866.361926,420.704518,103.558933,15.5,1168.0415,243.167688,318.89272,16.576,1101.288634,217.978975,442.435263,4,1212.977922,238.3053
"56700",1239.042935,81.953376,3267.047307,916.5943,750.319362,36.0225,3020.410912,1158.864891,973.121376,39.29465,3049.519335,1000.05431,1149.072409,59.105,4389.164178,851.508764
"56730",19.372,1.075,116.905116,60.993,28.08842,0.2,107.883202,46.170015,3.12305,0.20085,164.119026,21.1575,16.356658,0.00085,105.50725,35.61025
"56740",15.4615,NA,8.2578,1.375,0.5792,NA,1.7632,0.0684,0.4045,NA,8.565,0.00525,2.16795,0.14,9.399,0.6
"56750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56760",9.233,NA,59.1125,1.71,1.0781,0.8,20.341,0.7734,5.0453,0.08,24.59175,NA,4.218,NA,10.03,NA
"56770",56.210167,NA,727.38769,205.3805,93.644032,0.2,959.084179,213.046075,46.143673,NA,966.276465,139.290575,104.796562,NA,881.3199,244.5202
"56780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56800",2678.750862,38.570588,13018.545571,5224.837408,3102.483399,13.6375,13098.860271,4996.676666,2233.922408,39.198138,12245.229418,3216.922162,3043.543784,57.8,16382.471188,4404.007813
"56840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56850",359.667596,36,2607.688342,927.0497,262.7507,43,2620.34622,959.024,324.143246,28.14,2723.388422,770.965375,895.483541,43,2829.466248,895.6465
"56860",18.734667,5,75.417438,9.08195,8.3297,4,65.0321,7.8606,0.6619,NA,37.8496,9.97,11.938,0.22,17.441,9.242
"56870",43.181119,0.7073,894.979923,198.148625,167.825237,1.4,471.372593,178.7819,80.973328,0.99331,886.629229,125.081957,52.201782,0.917314,492.565842,82.72289
"56880",1068.885891,111.673175,1695.391723,414.566535,132.502994,0.4,1039.860391,391.700802,562.301375,53.735,1513.138414,239.050142,666.726742,39.215,1352.010443,230.180542
"56890",1056.821599,55.7296,2473.906343,1002.498519,679.852378,55.336275,1779.521304,479.4872,1424.009975,41.6835,1976.692194,438.167866,205.729994,8.999,1654.601044,462.379045
"56910",884.587203,86.1455,4925.48932,2530.496705,1129.574107,58.2975,4009.802414,2001.20832,1021.154266,64.7835,5315.672428,2142.979242,1434.055156,24.2975,5130.647902,1927.48863
"56920",13414.549644,18.576,14397.971282,8213.613049,14675.032304,53.28,14260.532781,8410.673325,13889.650777,30.44,16212.784989,7588.9741,23192.748298,48,19747.397182,9868.1279
"56930",6890.636645,4.5855,7851.130719,4335.187086,9566.73201,5.6175,8385.82634,4143.678125,4265.018556,4.672,8779.862659,3754.463403,13961.705548,NA,10026.2304,4005.757925
"56950",47.468409,4.28,414.202052,129.4534,59.7368,0.2,256.14986,83.462875,31.11096,0.15,328.860085,83.72475,41.8463,4.62,514.6083,84.4622
"57000",60.47954,24.545,724.20975,588.422,51.295926,9,595.61255,595.1593,18.66461,0.2,929.842608,303.3827,87.831387,NA,1287.957614,236.4517
"57050",507.3633,17.15,2983.5008,93.27895,745.9169,7.5,2236.37585,113.6074,532.062341,NA,2504.99315,40.4448,1021.652807,3,3185.26755,31.7332
"57070",114.292984,NA,1117.537682,481.9125,770.673409,3,801.64889,422.8273,640.270399,6,1492.318232,340.7522,748.816435,15,1177.324975,279.2324
"57100",444.446722,17.50565,941.474507,735.21901,328.269395,35.947975,1212.24692,446.936053,550.151424,22.505,1332.157833,533.400516,396.34129,NA,1377.818542,821.059835
"57120",0.5,NA,41.5066,NA,0.14,NA,2.9,NA,4.21,NA,7.98,NA,NA,NA,3,NA
"57130",1696.001329,19.5,4562.62373,2630.19222,1625.073002,27,3800.201554,2672.2638,1658.473602,17.7988,5274.538511,1556.4292,1727.951769,25.1982,7656.752866,1639.6966
"57140",357.624331,37.15,656.484242,509.3027,425.881955,14.7,636.005051,495.57745,356.842304,31.6,781.682336,361.5225,265.54987,12,949.52715,227.2274
"57150",20.597599,NA,205.13215,94.225,3.04375,NA,127.2052,39.3236,8.347588,NA,415.5616,21.4364,11.855059,NA,356.38965,25.694
"57155",161.738634,1.075,743.111,299.3363,202.177843,NA,421.22055,373.4275,135.771231,3,461.33955,145.8482,144.891869,2.616,408.50769,93.9083
"57160",48.73125,7.15,67.775065,16.37,65.0725,NA,55.040315,47.3725,93.8368,NA,141.754865,40.716,12.35067,NA,87.444665,27.135
"57170",3036.309059,NA,13809.655581,10073.7207,2888.542941,3,13743.108846,11685.23165,2830.887503,NA,16133.557996,7877.7525,1456.378283,NA,16176.366414,4534.5012
"57175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57185",1.5825,NA,69.7766,0.25,0.52,NA,70.2784,NA,0.44,NA,20.805,NA,0.4325,NA,24.388,0.25
"57190",6.26,17.32,39.711,16.15,10.185,NA,56.507,0.807,0.105,NA,9,0.45,NA,NA,18.7,7.24
"57200",64.301335,1.075,628.04157,296.4642,156.234167,NA,828.404046,270.6736,118.319794,NA,1074.196972,213.3455,63.568084,NA,984.32415,257.5994
"57220",2561.520412,NA,14130.14283,8754.88725,2653.714721,NA,12958.537338,8990.1172,2895.908623,6,16933.580934,6459.627765,2066.582954,3,19490.465606,6167.5538
"57230",52.034363,NA,247.15195,243.8692,32.261784,NA,413.20314,284.7099,34.094387,NA,296.685864,158.1101,83.435056,NA,286.662972,140.8759
"57240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57245",209.291628,NA,1289.2787,781.7712,269.661156,19.5,892.5552,650.1434,233.034381,6,1259.36013,519.0608,173.016009,7.5,1338.3906,535.1772
"57250",NA,NA,44.9841,NA,2.188,NA,30.18,NA,49.77,NA,5.445,NA,0.175,NA,1.625,NA
"57255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57260",1413.754092,NA,6705.117908,4488.9749,1193.469421,NA,7528.343766,4822.6959,935.412861,NA,9005.133181,3178.928,935.165426,NA,11629.42149,2770.906095
"57270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57280",932.567397,23.8,371.696748,225.13664,20.208148,NA,161.632292,78.341,26.448331,NA,238.186062,48.3026,14.706293,NA,292.006602,40.5556
"57290",NA,10.75,34.324504,11.4545,4.279575,NA,22.36084,5.72832,3.4459,NA,32.74,1,11.61269,NA,12.5964,NA
"57300",138.600687,NA,641.19358,528.9398,162.107545,NA,396.409064,468.5683,56.648231,NA,633.165938,180.4113,104.335462,3,818.091476,298.2365
"57310",628.046984,NA,1503.786036,1046.4402,454.134154,NA,1132.7435,683.69995,126.679646,NA,1189.303766,313.40785,266.216118,NA,1758.022214,438.6902
"57320",738.951383,2.422,5034.553342,3833.74943,626.272936,3.3,4608.053332,3245.5333,792.087614,6,6117.455342,2266.596265,456.859835,NA,7011.114118,2155.9061
"57330",795.938642,3.937782,2027.574832,1498.33435,548.021549,0.830384,1974.415407,1361.37822,608.943975,0.255936,1903.34891,960.93034,552.969399,0.218612,2342.94329,1108.39666
"57340",1523.954448,NA,9604.340068,6472.547,1508.743,NA,9340.261408,5964.97595,1569.133291,NA,10813.930359,3253.599495,1023.685211,NA,11452.846017,3272.2901
"57350",6.127,5.375,102.4692,86.2222,19.87125,NA,131.8106,71.572,7.195432,NA,174.65762,73.9093,14.08125,NA,282.4396,69.755
"57360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
